year,trapping_season,eartag,block,plot,species,rodent_treatment,burn_treatment
2018,spring,2267,2,C1,PEMA,control,control
2018,spring,2241,2,C1,PEMA,control,control
2018,spring,2266,2,C1,DIMI,control,control
2018,spring,2265,2,C1,PEMA,control,control
2018,spring,2264,2,UN,PEMA,rodent_exclusion,unburned
2018,spring,2263,2,US,PEMA,rodent_control,unburned
2018,spring,2262,2,US,PEMA,rodent_control,unburned
2018,spring,2252,2,US,PEMA,rodent_control,unburned
2018,spring,2226,2,US,PEMA,rodent_control,unburned
2018,spring,2224,2,US,DIMI,rodent_control,unburned
2018,spring,2203,2,C2,PEMA,control,control
2018,spring,2202,2,C2,PEMA,control,control
2018,spring,2205,2,C2,PEMA,control,control
2018,spring,2222,2,C2,PEMA,control,control
2018,spring,2219,3,C2,PEMA,control,control
2018,spring,2215,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2206,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2207,4,UN,PEMA,rodent_exclusion,unburned
2018,spring,2209,4,C1,PEMA,control,control
2018,spring,2208,4,C1,PEMA,control,control
2018,spring,2210,4,C1,PEMA,control,control
2018,spring,2213,4,US,PEMA,rodent_control,unburned
2018,spring,2212,4,US,PEMA,rodent_control,unburned
2018,spring,2211,4,US,PEMA,rodent_control,unburned
2018,spring,2276,4,C2,PEMA,control,control
2018,spring,2104,1,BS,DIOR,rodent_control,burned
2018,spring,2742,1,BS,PEMA,rodent_control,burned
2018,spring,2726,1,BS,DIOR,rodent_control,burned
2018,spring,2119,1,US,PEMA,rodent_control,unburned
2018,spring,2727,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2126,1,UN,PEMA,rodent_exclusion,unburned
2018,spring,2108,1,C1,PEMA,control,control
2018,spring,2120,1,C1,PEMA,control,control
2018,spring,2980,1,C1,PEMA,control,control
2018,spring,2723,1,C2,PEMA,control,control
2018,spring,2722,1,C2,DIOR,control,control
2018,spring,2134,3,US,PEMA,rodent_control,unburned
2018,spring,2151,3,US,PEMA,rodent_control,unburned
2018,spring,2176,3,US,PEMA,rodent_control,unburned
2018,spring,2721,3,BS,PEMA,rodent_control,burned
2018,spring,2120,3,BS,PEMA,rodent_control,burned
2018,spring,2057,3,BS,PEMA,rodent_control,burned
2018,spring,2718,3,UN,PEMA,rodent_exclusion,unburned
